rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.113885405972360743e-01,1.542258462655797899e+08,5.933308931427311306e-02
2.397587939698492500e+14,2.000000000000101963e+01,1.194182196893648351e-01,9.463922601615241170e+07,6.043162533552073890e-02
2.555175879396985000e+14,2.000000000000101963e+01,1.286078056130035008e-01,5.765196207264445722e+07,6.266927294867571940e-02
2.712763819095477500e+14,2.000000000000101963e+01,1.389863436390107454e-01,3.523184514020062983e+07,6.606693302967053816e-02
2.870351758793970000e+14,2.000000000000101963e+01,1.505570898631616306e-01,2.183472708310770988e+07,7.061411951656217101e-02
3.027939698492462500e+14,1.908000460000091536e+01,1.633217394761174168e-01,1.382240348232703097e+07,7.627855992188327383e-02
3.185527638190955000e+14,1.754001230000074329e+01,1.772824472228092807e-01,8.929833474276408553e+06,8.302703486270235356e-02
3.343115577889447500e+14,1.636001820000061358e+01,1.924466887259641823e-01,5.860389262218338437e+06,9.085520367821522947e-02
3.500703517587940000e+14,1.545002275000051206e+01,2.087380964385950055e-01,3.904009461644145660e+06,9.973399850432887459e-02
3.658291457286432500e+14,1.285003575000022025e+01,3.341868168468941080e-01,4.536425996321423445e+05,1.859481252832590192e-01
3.815879396984925000e+14,1.240003800000017087e+01,4.610872805973668664e-01,1.205041333011366951e+05,3.032909049767724130e-01
3.973467336683417500e+14,1.238003810000016891e+01,5.857785738273416642e-01,4.562336428721497214e+04,4.424772740872909282e-01
4.131055276381909375e+14,1.248003760000017870e+01,7.041879002735312865e-01,2.140265259879366931e+04,5.941173005247228911e-01
4.288643216080401875e+14,1.260003700000019222e+01,8.091814043117827593e-01,1.192916014701009590e+04,7.430060209433191343e-01
4.446231155778894375e+14,1.271003645000020477e+01,8.903853554607609189e-01,7.894521773129668873e+03,8.665058698411495230e-01
4.603819095477386875e+14,1.280003600000021535e+01,9.635354726965069672e-01,5.563340513219320201e+03,9.831775420405168830e-01
4.761407035175879375e+14,1.288003560000022496e+01,1.031044018088448144e+00,4.085344399520995466e+03,1.094846613814180802e+00
4.918994974874371875e+14,1.295003525000023181e+01,1.093437294587801478e+00,3.101495384828249826e+03,1.201020830699105035e+00
5.076582914572864375e+14,1.301003495000023946e+01,1.151255468110148117e+00,2.418974428337899553e+03,1.301577563885113031e+00
5.234170854271356875e+14,1.306003470000024436e+01,1.205076213262774365e+00,1.928407905595088096e+03,1.396736916771046610e+00
5.391758793969849375e+14,1.311003445000024925e+01,1.255287119846800303e+00,1.565988802359748888e+03,1.486587079506407783e+00
