rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.110778102567107628e-01,1.221746898004210293e+08,5.357613645952483128e-02
2.376593604679396875e+14,2.000000000000101963e+01,1.251729395207185069e-01,5.627619535598725826e+07,5.776354201931149096e-02
2.513187209358794062e+14,2.000000000000101963e+01,1.421686006903762900e-01,2.665022043893162161e+07,6.502599342241022207e-02
2.649780814038190938e+14,1.891000545000089872e+01,1.619151578286150139e-01,1.341769923095541447e+07,7.522501852534510536e-02
2.786374418717588125e+14,1.691001545000067452e+01,1.843201128182041515e-01,7.149405004166817293e+06,8.825430577283392697e-02
2.922968023396985000e+14,1.559002205000052754e+01,2.092242811310326411e-01,3.973041763437261805e+06,1.040788868332757633e-01
3.059561628076381875e+14,1.469002655000042701e+01,2.365074137861965520e-01,2.285066861999856308e+06,1.227514848282968418e-01
3.196155232755778750e+14,1.405002975000035548e+01,2.661111585314485106e-01,1.353186303985960316e+06,1.443938583467688774e-01
3.332748837435176250e+14,1.359003205000030334e+01,2.978330997416305803e-01,8.239149627318439307e+05,1.690229653449855651e-01
3.469342442114573125e+14,1.326003370000026571e+01,3.316232108626754327e-01,5.140461850929253269e+05,1.967625216425442913e-01
3.605936046793970000e+14,1.301003495000023946e+01,3.672862058377422412e-01,3.283059645186516573e+05,2.276034855833643511e-01
3.742529651473366875e+14,1.284003580000021927e+01,4.046906736760502721e-01,2.142355901624770486e+05,2.615643837332660149e-01
3.879123256152763750e+14,1.271003645000020477e+01,4.436983765859203732e-01,1.426179536415064940e+05,2.986415285650254603e-01
4.015716860832161250e+14,1.262003690000019418e+01,4.841335280657454998e-01,9.674920914235862438e+04,3.387629919753223362e-01
4.152310465511557500e+14,1.256003720000018831e+01,5.258124706757405509e-01,6.681897249088811805e+04,3.818274376943916470e-01
4.288904070190955000e+14,1.252003740000018439e+01,5.686444227602666102e-01,4.689388130884668499e+04,4.277995903302976854e-01
4.425497674870351875e+14,1.249003755000017968e+01,6.123997812575086019e-01,3.343691832744771818e+04,4.764737861076962511e-01
4.562091279549748750e+14,1.248003760000017870e+01,6.569284517697788761e-01,2.419080062449778779e+04,5.277022059999527670e-01
4.698684884229146250e+14,1.247003765000017772e+01,7.020357417310483239e-01,1.775089650693971635e+04,5.812635092069428078e-01
4.835278488908542500e+14,1.248003760000017870e+01,7.476795866302041738e-01,1.318857103821748206e+04,6.370954439297027427e-01
4.971872093587940000e+14,1.248003760000017870e+01,7.935819866880676754e-01,9.923472689626523788e+03,6.948243457544136525e-01
