rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.929000355000093947e+01,1.826842950858588444e-01,1.138890551944746450e+07,1.023708084471826874e-01
2.304888943853768750e+14,1.834000830000083582e+01,1.948728449827962783e-01,8.357806379229249433e+06,1.109254857982673453e-01
2.369777887707537812e+14,1.756001220000074881e+01,2.076659072455994126e-01,6.200680805367765948e+06,1.202706312456771620e-01
2.434666831561306562e+14,1.692001540000067550e+01,2.210497114122290940e-01,4.644436356699196622e+06,1.304068025451524393e-01
2.499555775415075312e+14,1.639001805000061651e+01,2.350080627588099491e-01,3.509927703609833494e+06,1.413391790788119939e-01
2.564444719268844375e+14,1.594002030000056536e+01,2.495629139839761201e-01,2.672404587144048885e+06,1.531027142851619227e-01
2.629333663122613125e+14,1.556002220000052283e+01,2.646663298948670473e-01,2.050620359608234139e+06,1.656804668739517428e-01
2.694222606976381875e+14,1.524002380000048795e+01,2.803594147763450173e-01,1.583554144807354081e+06,1.791265432801218138e-01
2.759111550830150625e+14,1.497002515000045797e+01,2.965913312052825268e-01,1.231196319532699184e+06,1.934213086184035368e-01
2.824000494683919375e+14,1.473002635000043092e+01,3.133790209334893495e-01,9.629424371691246051e+05,2.085998671896293621e-01
2.888889438537688750e+14,1.453002735000040779e+01,3.307077431723549066e-01,7.575057564687926788e+05,2.246726660402492692e-01
2.953778382391457500e+14,1.436002820000038938e+01,3.485550133449952237e-01,5.993400021335935453e+05,2.416412096295323386e-01
3.018667326245226250e+14,1.421002895000037292e+01,3.669388990173979570e-01,4.766063805795102962e+05,2.595434316709857026e-01
3.083556270098995000e+14,1.408002960000035841e+01,3.858070792915903047e-01,3.810189742024813895e+05,2.783496455429859684e-01
3.148445213952763750e+14,1.397003015000034587e+01,4.052033592944148110e-01,3.060551592863632832e+05,2.981281919702387095e-01
3.213334157806532500e+14,1.387003065000033430e+01,4.250605885210713142e-01,2.470389553055698634e+05,3.188272376291846344e-01
3.278223101660301250e+14,1.379003105000032647e+01,4.454007464585839626e-01,2.002915348898305383e+05,3.404910801595231185e-01
3.343112045514070625e+14,1.372003140000031784e+01,4.661909815264135282e-01,1.631234668117528490e+05,3.631021582371214973e-01
3.408000989367839375e+14,1.366003170000031197e+01,4.874139808298882937e-01,1.334325518014174304e+05,3.866601214511294904e-01
3.472889933221608125e+14,1.361003195000030530e+01,5.090797413616739986e-01,1.095813950130607991e+05,4.111933185839851679e-01
3.537778877075376875e+14,1.356003220000030041e+01,5.311230410972540561e-01,9.037825771786989935e+04,4.366406990696405921e-01
3.602667820929145625e+14,1.353003235000029747e+01,5.535905555333990868e-01,7.481661590226156113e+04,4.630752382441808979e-01
3.667556764782915000e+14,1.349003255000029178e+01,5.764034130861456218e-01,6.217887982713662495e+04,4.904141195143489340e-01
3.732445708636683750e+14,1.347003265000028982e+01,5.995819000668761722e-01,5.186504244408973318e+04,5.186956417181556311e-01
3.797334652490452500e+14,1.345003275000028786e+01,6.230882182764324595e-01,4.341990946177135629e+04,5.478836824798954952e-01
3.862223596344221250e+14,1.343003285000028590e+01,6.468960060750797991e-01,3.648067115292303788e+04,5.779549121874014705e-01
3.927112540197990000e+14,1.341003295000028395e+01,6.710103589994109718e-01,3.075246107070082508e+04,6.089222393218955975e-01
3.992001484051758750e+14,1.340003300000028297e+01,6.953674204736058906e-01,2.601623651328398046e+04,6.407130007618239143e-01
4.056890427905527500e+14,1.339003305000028021e+01,7.200062626508829666e-01,2.207602849281101226e+04,6.733841301851033467e-01
4.121779371759296250e+14,1.339003305000028021e+01,7.448412006655689144e-01,1.879677595413579547e+04,7.068224835509493431e-01
4.186668315613065000e+14,1.339003305000028021e+01,7.698915948185586222e-01,1.605402462335281234e+04,7.410577291209987649e-01
4.251557259466834375e+14,1.338003310000027923e+01,7.951174177425339717e-01,1.375425488835866054e+04,7.760406380314375241e-01
4.316446203320603125e+14,1.338003310000027923e+01,8.204914151517765930e-01,1.181933721225584668e+04,8.117256912847367056e-01
4.381335147174371875e+14,1.338003310000027923e+01,8.460121722390034904e-01,1.018581692882987409e+04,8.481144680782258805e-01
4.446224091028141250e+14,1.338003310000027923e+01,8.716168951582495827e-01,8.804675021511717205e+03,8.851094286931990851e-01
4.511113034881910000e+14,1.339003305000028021e+01,8.973418194380791135e-01,7.631510219959049209e+03,9.227656741526103490e-01
4.576001978735678750e+14,1.339003305000028021e+01,9.231091081159815692e-01,6.633648925199356199e+03,9.609607131227481114e-01
4.640890922589447500e+14,1.340003300000028297e+01,9.489275754661768980e-01,5.781753020133809514e+03,9.996978440664684440e-01
4.705779866443216250e+14,1.340003300000028297e+01,9.747610982722368922e-01,5.052885213157174803e+03,1.038920122721525230e+00
4.770668810296985000e+14,1.340003300000028297e+01,1.000588670679796399e+00,4.427603387593902880e+03,1.078581761144369544e+00
4.835557754150753750e+14,1.341003295000028395e+01,1.026399498042615432e+00,3.889382296323149149e+03,1.118657165262081365e+00
4.900446698004522500e+14,1.342003290000028493e+01,1.052146646528882901e+00,3.425583817687454030e+03,1.159063625232001460e+00
4.965335641858291250e+14,1.342003290000028493e+01,1.077853826659729064e+00,3.024388486162323716e+03,1.199824779944185682e+00
5.030224585712060000e+14,1.343003285000028590e+01,1.103450790010568561e+00,2.676717921219912569e+03,1.240815349136449974e+00
5.095113529565829375e+14,1.343003285000028590e+01,1.128957457894308014e+00,2.374686956197145719e+03,1.282058396321918758e+00
5.160002473419598125e+14,1.344003280000028688e+01,1.154334200322178816e+00,2.111676136718025646e+03,1.323471572182197908e+00
5.224891417273366875e+14,1.344003280000028688e+01,1.179563345721561962e+00,1.882187495470652948e+03,1.365007513677257700e+00
5.289780361127135625e+14,1.345003275000028786e+01,1.204641449174214785e+00,1.681358651860082318e+03,1.406650656113439979e+00
5.354669304980905000e+14,1.345003275000028786e+01,1.229530134363797211e+00,1.505337350893888924e+03,1.448319835553595114e+00
5.419558248834673750e+14,1.346003270000028884e+01,1.254245471772214460e+00,1.350647310565667794e+03,1.490026489059915082e+00
5.484447192688442500e+14,1.346003270000028884e+01,1.278734143919760591e+00,1.214468142782885025e+03,1.531656604001731425e+00
5.549336136542211250e+14,1.346003270000028884e+01,1.303014370382645115e+00,1.094260254168232905e+03,1.573231638872930604e+00
5.614225080395980000e+14,1.347003265000028982e+01,1.327053486038971108e+00,9.880393457021702943e+02,1.614677966102688211e+00
5.679114024249748750e+14,1.347003265000028982e+01,1.350841774313431998e+00,8.938875047391254611e+02,1.655953545486323897e+00
5.744002968103517500e+14,1.347003265000028982e+01,1.374377153294779497e+00,8.102568854542826102e+02,1.697045808751301177e+00
5.808891911957287500e+14,1.347003265000028982e+01,1.397629917243153885e+00,7.359509427685511582e+02,1.737880315169342049e+00
5.873780855811055000e+14,1.347003265000028982e+01,1.420621138335472988e+00,6.697042883978895134e+02,1.778483779110883400e+00
5.938669799664825000e+14,1.348003260000029080e+01,1.443304814875802533e+00,6.105683160013718407e+02,1.818747112876164307e+00
6.003558743518592500e+14,1.348003260000029080e+01,1.465703166036628646e+00,5.576149711545904211e+02,1.858703036847385359e+00
6.068447687372362500e+14,1.348003260000029080e+01,1.487787576464231876e+00,5.102302331079079636e+02,1.898274736706129007e+00
6.133336631226130000e+14,1.348003260000029080e+01,1.509562185281607016e+00,4.676584667979814185e+02,1.937462428516055324e+00
6.198225575079900000e+14,1.347003265000028982e+01,1.531016705520719778e+00,4.293873471347744726e+02,1.976215535583261129e+00
6.263114518933668750e+14,1.347003265000028982e+01,1.552142509897459499e+00,3.949232781226905900e+02,2.014524769537136883e+00
6.328003462787437500e+14,1.347003265000028982e+01,1.572945607454768524e+00,3.637880271749182839e+02,2.052362617882691254e+00
6.392892406641206250e+14,1.347003265000028982e+01,1.593406067578205576e+00,3.356843603754690548e+02,2.089691362084627801e+00
6.457781350494975000e+14,1.347003265000028982e+01,1.613538263302463749e+00,3.102056430905298612e+02,2.126521293251250722e+00
6.522670294348743750e+14,1.346003270000028884e+01,1.633326581828792978e+00,2.871355562715977499e+02,2.162810542723302198e+00
6.587559238202512500e+14,1.346003270000028884e+01,1.652769886972224933e+00,2.661758707579562042e+02,2.198532168926744301e+00
6.652448182056282500e+14,1.346003270000028884e+01,1.671874180150150657e+00,2.471046626158112645e+02,2.233702142356744691e+00
6.717337125910050000e+14,1.345003275000028786e+01,1.690624610846134468e+00,2.297407116464162300e+02,2.268263858679029799e+00
6.782226069763820000e+14,1.345003275000028786e+01,1.709038785585637266e+00,2.138986805517214407e+02,2.302244449001372484e+00
6.847115013617587500e+14,1.344003280000028688e+01,1.727099067559086487e+00,1.994272272953476772e+02,2.335600497680954124e+00
6.912003957471357500e+14,1.344003280000028688e+01,1.744818799773250051e+00,1.861816939129620891e+02,2.368344731019721650e+00
6.976892901325125000e+14,1.343003285000028590e+01,1.762190068246051178e+00,1.740435670093642386e+02,2.400450596763847866e+00
7.041781845178895000e+14,1.342003290000028493e+01,1.779219179287969688e+00,1.629199756617674382e+02,2.431924650568760615e+00
7.106670789032663750e+14,1.342003290000028493e+01,1.795907062893765671e+00,1.526909257617206777e+02,2.462755154841740346e+00
7.171559732886432500e+14,1.341003295000028395e+01,1.812250745902314275e+00,1.432977230468973175e+02,2.492929995029830259e+00
7.236448676740201250e+14,1.340003300000028297e+01,1.828260152157282326e+00,1.346334905230674224e+02,2.522450675342140514e+00
7.301337620593970000e+14,1.339003305000028021e+01,1.843928199283269009e+00,1.266519506915169728e+02,2.551308473489331430e+00
7.366226564447738750e+14,1.338003310000027923e+01,1.859270297069950617e+00,1.192763726290226032e+02,2.579521111988780646e+00
7.431115508301507500e+14,1.338003310000027923e+01,1.874279414478797312e+00,1.124606924314483365e+02,2.607070460501285769e+00
7.496004452155277500e+14,1.337003315000027825e+01,1.888959466621560557e+00,1.061523529001210733e+02,2.633945238492627627e+00
7.560893396009045000e+14,1.336003320000027728e+01,1.903316922228948327e+00,1.003057075891667864e+02,2.660161506482169091e+00
7.625782339862815000e+14,1.335003325000027630e+01,1.917354030851243563e+00,9.488423212928013584e+01,2.685722711686445940e+00
7.690671283716582500e+14,1.334003330000027532e+01,1.931078203081112665e+00,8.985061441909667224e+01,2.710630013110357339e+00
7.755560227570352500e+14,1.333003335000027434e+01,1.944485909577386984e+00,8.516746985707587214e+01,2.734873552236268601e+00
7.820449171424120000e+14,1.332003340000027336e+01,1.957591336564911799e+00,8.081045696067225492e+01,2.758480944594345452e+00
