rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.762843859629846521e-01,1.574255064869999886e+07,1.028643084451048850e-01
2.330201887126633125e+14,1.966000170000098279e+01,1.880868283313162082e-01,1.121308795662255026e+07,1.102881989113852212e-01
2.420403774253266250e+14,1.860000700000086482e+01,2.007928172155228619e-01,8.036936961242453195e+06,1.186576145905153812e-01
2.510605661379899375e+14,1.773001135000076545e+01,2.144702676646477735e-01,5.787478909009226598e+06,1.280487217630070229e-01
2.600807548506532500e+14,1.699001505000068235e+01,2.291788445141252906e-01,4.182280335100926924e+06,1.385417496563275674e-01
2.691009435633165625e+14,1.637001815000061455e+01,2.449792180717179357e-01,3.031492029057019390e+06,1.502342090474307890e-01
2.781211322759799062e+14,1.585002075000055655e+01,2.619235491625740986e-01,2.203416052358430810e+06,1.632253345606025363e-01
2.871413209886432500e+14,1.540002300000050539e+01,2.801209660578637406e-01,1.604262296864884440e+06,1.776679058666073008e-01
2.961615097013065000e+14,1.502002490000046286e+01,2.996107147188172837e-01,1.170505397150353761e+06,1.936727059700819042e-01
3.051816984139698750e+14,1.470002650000042799e+01,3.203609895625720849e-01,8.569593010163471336e+05,2.112968276702361647e-01
3.142018871266331250e+14,1.443002785000039800e+01,3.423877150061038765e-01,6.297611061231470667e+05,2.306381387020703944e-01
3.232220758392965000e+14,1.419002905000037096e+01,3.656954129073001214e-01,4.647009577313533518e+05,2.517875438684929468e-01
3.322422645519598125e+14,1.400003000000034881e+01,3.902825056731231701e-01,3.444502636372159468e+05,2.748350316264137616e-01
3.412624532646231250e+14,1.383003085000033039e+01,4.161314937240993550e-01,2.565372071372221108e+05,2.998521715463694504e-01
3.502826419772864375e+14,1.370003150000031589e+01,4.432183093142769148e-01,1.920366406756479118e+05,3.269063074455460516e-01
3.593028306899497500e+14,1.358003210000030236e+01,4.715094103742584752e-01,1.445255896677535493e+05,3.560520689582745146e-01
3.683230194026130625e+14,1.349003255000029178e+01,5.009586553754000748e-01,1.093800116872093640e+05,3.873257797872275976e-01
3.773432081152763750e+14,1.341003295000028395e+01,5.315155424600297440e-01,8.325845967352048319e+04,4.207548920486695598e-01
3.863633968279396875e+14,1.335003325000027630e+01,5.631231269140922757e-01,6.375514577728958102e+04,4.563556960417711750e-01
3.953835855406030000e+14,1.330003350000027140e+01,5.957063865247294032e-01,4.911510247602876916e+04,4.941075815196616094e-01
4.044037742532663125e+14,1.326003370000026571e+01,6.292003688072344003e-01,3.807033145739186148e+04,5.340031628396735286e-01
