rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.042215923509557662e-01,1.695510835190175176e+08,4.997576866096667403e-02
2.330170439006030000e+14,2.000000000000101963e+01,1.154152239244625039e-01,8.460851385474276543e+07,5.233065455126567622e-02
2.420340878012060312e+14,2.000000000000101963e+01,1.288889527940390856e-01,4.268639691096515954e+07,5.720961371532894135e-02
2.510511317018090625e+14,2.000000000000101963e+01,1.444571501032838323e-01,2.254120017183377221e+07,6.446394378126882319e-02
2.600681756024120625e+14,1.859000705000086384e+01,1.619770550052073710e-01,1.262476268015046418e+07,7.394118720487184715e-02
2.690852195030150625e+14,1.693001535000067648e+01,1.811925354914482311e-01,7.442934721289690584e+06,8.545226301269091829e-02
2.781022634036180938e+14,1.580002100000054988e+01,2.019635147738628456e-01,4.557492025161394849e+06,9.893051813848802167e-02
2.871193073042211250e+14,1.499002505000045993e+01,2.241525320116283526e-01,2.879511260039988905e+06,1.143426537901761353e-01
2.961363512048241250e+14,1.441002795000039427e+01,2.475208416367449260e-01,1.873219396470477106e+06,1.315810689254337529e-01
3.051533951054271250e+14,1.397003015000034587e+01,2.719957882169138363e-01,1.249230486695772968e+06,1.506453737161806417e-01
3.141704390060301250e+14,1.365003175000031099e+01,2.975626493472711132e-01,8.507107420267743291e+05,1.715808327617019680e-01
3.231874829066331875e+14,1.340003300000028297e+01,3.240308555966299742e-01,5.913304868288149592e+05,1.942817493140661655e-01
3.322045268072361875e+14,1.322003390000026180e+01,3.513179850690745232e-01,4.187265469301154953e+05,2.187200829443039785e-01
3.412215707078391875e+14,1.307003465000024534e+01,3.794058573913147159e-01,3.012865984406852513e+05,2.449029356404646973e-01
3.502386146084422500e+14,1.297003515000023377e+01,4.081154894477279083e-01,2.202252301883818582e+05,2.726912219113937219e-01
3.592556585090452500e+14,1.289003555000022594e+01,4.373690910052275282e-01,1.633559577944397170e+05,3.020260964267188486e-01
3.682727024096482500e+14,1.283003585000021829e+01,4.671558798994773776e-01,1.227278115426379081e+05,3.328954795459216354e-01
