rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.553891233882732092e-01,6.564807014693117887e+07,1.103036564792627960e-01
2.345641013583919688e+14,2.000000000000101963e+01,1.665764178018580288e-01,4.467289564090215415e+07,1.159704554738206911e-01
2.451282027167839062e+14,2.000000000000101963e+01,1.779822377268743261e-01,3.137235514888614416e+07,1.226032940530900617e-01
2.556923040751758750e+14,2.000000000000101963e+01,1.909561015072174794e-01,2.179593626967875287e+07,1.309340533970722864e-01
2.662564054335678438e+14,2.000000000000101963e+01,2.047290172600947367e-01,1.535226883408397064e+07,1.405232125209535388e-01
2.768205067919598125e+14,1.962000190000097888e+01,2.197785577062430773e-01,1.083279686247373372e+07,1.516962792368958257e-01
2.873846081503517500e+14,1.869000655000087363e+01,2.355433374395383139e-01,7.756209443792160600e+06,1.640558668969632483e-01
2.979487095087437500e+14,1.791001045000078662e+01,2.527966567841611334e-01,5.540042652143673971e+06,1.782293642148595758e-01
3.085128108671356875e+14,1.728001360000071429e+01,2.704313235253777981e-01,4.030593136465276126e+06,1.933368532713319599e-01
3.190769122255276250e+14,1.675001625000065530e+01,2.897262010794747211e-01,2.917586181712617166e+06,2.105118505984839294e-01
3.296410135839196250e+14,1.631001845000060868e+01,3.097252518185905634e-01,2.135926509427945130e+06,2.289657923315098764e-01
3.402051149423115625e+14,1.594002030000056536e+01,3.304095313577693482e-01,1.580049546823653625e+06,2.487015973903157484e-01
3.507692163007035000e+14,1.563002185000053146e+01,3.525415569750862121e-01,1.167962015122562647e+06,2.705032365770086988e-01
3.613333176590955000e+14,1.537002315000050245e+01,3.755156935099744353e-01,8.701716042950042756e+05,2.938456364598304171e-01
3.718974190174874375e+14,1.514002430000047639e+01,3.992668648655416375e-01,6.533940793718949426e+05,3.186962135584078815e-01
3.824615203758793750e+14,1.496002520000045699e+01,4.238486788085029655e-01,4.939787963547394611e+05,3.451549661767653876e-01
3.930256217342713750e+14,1.480002600000043778e+01,4.493802596460700349e-01,3.753433563046490890e+05,3.733971554970422768e-01
4.035897230926633125e+14,1.466002670000042230e+01,4.759493550036658083e-01,2.863582303240195615e+05,4.035807525528643525e-01
4.141538244510552500e+14,1.454002730000040877e+01,5.032868586190947235e-01,2.198734753119934176e+05,4.354495307962590323e-01
4.247179258094472500e+14,1.445002775000039996e+01,5.313957006742111577e-01,1.698414737222004042e+05,4.690501573859992557e-01
4.352820271678391875e+14,1.436002820000038938e+01,5.602573224926014062e-01,1.319435137085164897e+05,5.043955955475660780e-01
4.458461285262311250e+14,1.429002855000038252e+01,5.898602052703085796e-01,1.030698623909480084e+05,5.415206587500686064e-01
4.564102298846231250e+14,1.424002880000037585e+01,6.201633089392862841e-01,8.094026691707216378e+04,5.804029259740475233e-01
