rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.645001775000062239e+01,3.015267979264725229e-01,1.705814135930313729e+06,2.306002774901672880e-01
2.329900810874371875e+14,1.608001960000058261e+01,3.255994823931119830e-01,1.208057545774779748e+06,2.558843843305407262e-01
2.419801621748743750e+14,1.578002110000054792e+01,3.499112153257323277e-01,8.735406307435297640e+05,2.821566861005919691e-01
2.509702432623115625e+14,1.554002230000052087e+01,3.744637873064494693e-01,6.429648896147676278e+05,3.093764096524088680e-01
2.599603243497487500e+14,1.534002330000049952e+01,3.992287217600292704e-01,4.807647716692317044e+05,3.374747631288240179e-01
2.689504054371859375e+14,1.517002415000047932e+01,4.241963367430864329e-01,3.644690714032857213e+05,3.664082212559127694e-01
2.779404865246231250e+14,1.503002485000046384e+01,4.493471642322900417e-01,2.797670000475422130e+05,3.961277794589271872e-01
2.869305676120603125e+14,1.492002540000045130e+01,4.746532106312508215e-01,2.171476917560759757e+05,4.265709131251834707e-01
2.959206486994975000e+14,1.482002590000044151e+01,5.001106300685016492e-01,1.702647477508512384e+05,4.577115219731163198e-01
3.049107297869346875e+14,1.473002635000043092e+01,5.256958208054240966e-01,1.347542350983123761e+05,4.894955449103794431e-01
3.139008108743718750e+14,1.466002670000042230e+01,5.513869759689946637e-01,1.075573300089705735e+05,5.218757525226863647e-01
3.228908919618090625e+14,1.459002705000041544e+01,5.771879339928860375e-01,8.652316312950423162e+04,5.548411436824637333e-01
3.318809730492462500e+14,1.453002735000040779e+01,6.030721636828461074e-01,7.010998831225515460e+04,5.883338523570744716e-01
3.408710541366833750e+14,1.448002760000040290e+01,6.290287068990700892e-01,5.719171199726950726e+04,6.223264776318088165e-01
3.498611352241206250e+14,1.444002780000039898e+01,6.550567774244927532e-01,4.694318239020807232e+04,6.568017692488515857e-01
3.588512163115577500e+14,1.439002805000039231e+01,6.811372634183113783e-01,3.875466575276973890e+04,6.917176905550255217e-01
3.678412973989950000e+14,1.436002820000038938e+01,7.072640722411223102e-01,3.216951965393674618e+04,7.270520627485752563e-01
3.768313784864321250e+14,1.432002840000038546e+01,7.334329262410302919e-01,2.683657280496052408e+04,7.627861345146069727e-01
3.858214595738693750e+14,1.429002855000038252e+01,7.596296012730886504e-01,2.249431510613163482e+04,7.988885120740119028e-01
3.948115406613065000e+14,1.426002870000037781e+01,7.858527293346810882e-01,1.893807644698854347e+04,8.353439879571804560e-01
4.038016217487437500e+14,1.424002880000037585e+01,8.120959936770505427e-01,1.601095653727279205e+04,8.721335169620709760e-01
4.127917028361808750e+14,1.421002895000037292e+01,8.383474285233186718e-01,1.359018657599912149e+04,9.092291885114275329e-01
4.217817839236181250e+14,1.419002905000037096e+01,8.646092573323184149e-01,1.157753767530043297e+04,9.466258000384747406e-01
4.307718650110552500e+14,1.417002915000036900e+01,8.908712443549442472e-01,9.897650172962044962e+03,9.842971863720554326e-01
4.397619460984924375e+14,1.415002925000036527e+01,9.171227530554884044e-01,8.489496561156352982e+03,1.022219772344230782e+00
4.487520271859296250e+14,1.413002935000036331e+01,9.433710324794095659e-01,7.304639511268562273e+03,1.060395284572466013e+00
