rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.648001760000062532e+01,2.786052230732911084e-01,2.257613494560218416e+06,1.999054246063435014e-01
2.332031654057789062e+14,1.600002000000057123e+01,3.045233044895233054e-01,1.521562569131364115e+06,2.258305741602755767e-01
2.424063308115577812e+14,1.564002180000053244e+01,3.311337629085062684e-01,1.049135482168298680e+06,2.534650383319985156e-01
2.516094962173366875e+14,1.535002325000050050e+01,3.584531713541617148e-01,7.376241855952001642e+05,2.828313709823989663e-01
2.608126616231155625e+14,1.512002440000047443e+01,3.864405642061796153e-01,5.275387974008562742e+05,3.138857041637664325e-01
2.700158270288944688e+14,1.494002530000045503e+01,4.150259370975051265e-01,3.831617481475379900e+05,3.465474811375259812e-01
2.792189924346733750e+14,1.479002605000043680e+01,4.441801869877375908e-01,2.822516583100230200e+05,3.807911819713588608e-01
2.884221578404522500e+14,1.467002665000042327e+01,4.738777098960441636e-01,2.105384429915549990e+05,4.165798054364311387e-01
2.976253232462311250e+14,1.457002715000041349e+01,5.040974278165898381e-01,1.588303264022683725e+05,4.538916408289295767e-01
3.068284886520100625e+14,1.449002755000040388e+01,5.347598693637020117e-01,1.211015266391417535e+05,4.926218379443134121e-01
3.160316540577889375e+14,1.443002785000039800e+01,5.658278789617645632e-01,9.326333494346713996e+04,5.327186998162202203e-01
3.252348194635678750e+14,1.437002815000039035e+01,5.972766931299277049e-01,7.248779891264169419e+04,5.741498764531882681e-01
3.344379848693467500e+14,1.433002835000038644e+01,6.290975283479608438e-01,5.680421546737202152e+04,6.168889707638227637e-01
3.436411502751256250e+14,1.429002855000038252e+01,6.612064196668825389e-01,4.486819650883501890e+04,6.608141417142653351e-01
3.528443156809045000e+14,1.426002870000037781e+01,6.935752422224652491e-01,3.571467644718319934e+04,7.058850793109223698e-01
3.620474810866834375e+14,1.423002885000037487e+01,7.261567394635672912e-01,2.863432900170647554e+04,7.520126087474456877e-01
3.712506464924623125e+14,1.421002895000037292e+01,7.589476393160000667e-01,2.310592309704283980e+04,7.991778369932968085e-01
3.804538118982412500e+14,1.419002905000037096e+01,7.918907894378249823e-01,1.876277182099824131e+04,8.472819861955589449e-01
3.896569773040201250e+14,1.418002910000036998e+01,8.249365729097180022e-01,1.532978579931875356e+04,8.962405035320529789e-01
3.988601427097990000e+14,1.417002915000036900e+01,8.580512133772598693e-01,1.259680894866209746e+04,9.459769359409321288e-01
4.080633081155778750e+14,1.416002920000036625e+01,8.912024200264722085e-01,1.040789155235635917e+04,9.964221814993998727e-01
4.172664735213567500e+14,1.415002925000036527e+01,9.243811065328152443e-01,8.642970431025281869e+03,1.047538290615132706e+00
4.264696389271356875e+14,1.414002930000036429e+01,9.575208520330132922e-01,7.213518406257066090e+03,1.099200630772447118e+00
4.356728043329145625e+14,1.413002935000036331e+01,9.905855198320326904e-01,6.049513205605599978e+03,1.151328125176625194e+00
4.448759697386935000e+14,1.412002940000036233e+01,1.023553617458324627e+00,5.096769938221083976e+03,1.203869773309288682e+00
4.540791351444723750e+14,1.412002940000036233e+01,1.056395462771401172e+00,4.313071853174191347e+03,1.256734061636405553e+00
4.632823005502512500e+14,1.411002945000036135e+01,1.089086262257291882e+00,3.665462546456261407e+03,1.309859733292417339e+00
4.724854659560301250e+14,1.410002950000036037e+01,1.121583604828300329e+00,3.127667440360981345e+03,1.363157621044753798e+00
4.816886313618090625e+14,1.410002950000036037e+01,1.153849527997658830e+00,2.679642857297041701e+03,1.416527564870868616e+00
4.908917967675879375e+14,1.409002955000035939e+01,1.185860559019561444e+00,2.304586176238834014e+03,1.469901656284326785e+00
5.000949621733668750e+14,1.408002960000035841e+01,1.217614318092115511e+00,1.989349003555837271e+03,1.523248845648781824e+00
5.092981275791457500e+14,1.408002960000035841e+01,1.248483296839760115e+00,1.727740040947227044e+03,1.575468824984072702e+00
5.185012929849246250e+14,1.407002965000035744e+01,1.273541111385372737e+00,1.542922980209351408e+03,1.618074243868219408e+00
5.277044583907035000e+14,1.407002965000035744e+01,1.296354310795868159e+00,1.393298097784380161e+03,1.656941643260547936e+00
5.369076237964824375e+14,1.406002970000035646e+01,1.318094557301271008e+00,1.264767885648655692e+03,1.693955182054066588e+00
5.461107892022613125e+14,1.405002975000035548e+01,1.339065367467409784e+00,1.152554397496825004e+03,1.729607498809558663e+00
5.553139546080401875e+14,1.404002980000035450e+01,1.359376419865384822e+00,1.053591894414520084e+03,1.764024209088011608e+00
5.645171200138191250e+14,1.403002985000035174e+01,1.379116800905854978e+00,9.656930472576597140e+02,1.797332989380695967e+00
5.737202854195980000e+14,1.403002985000035174e+01,1.398346424760021911e+00,8.871898049180337011e+02,1.829610685120736990e+00
5.829234508253768750e+14,1.401002995000034979e+01,1.417111489766583299e+00,8.167652455981835828e+02,1.860928552355804344e+00
5.921266162311557500e+14,1.400003000000034881e+01,1.435431949271875451e+00,7.534122514057551143e+02,1.891292251281812220e+00
6.013297816369347500e+14,1.399003005000034783e+01,1.453334901852725070e+00,6.961003992206449311e+02,1.920738042473668195e+00
6.105329470427135000e+14,1.398003010000034685e+01,1.470846185914714388e+00,6.442088735610925596e+02,1.949297822802907865e+00
6.197361124484925000e+14,1.397003015000034587e+01,1.487992935649105508e+00,5.970690119016713879e+02,1.977037956476120018e+00
6.289392778542713750e+14,1.395003025000034391e+01,1.504769761528929939e+00,5.541262669873792674e+02,2.003916020052057156e+00
6.381424432600502500e+14,1.394003030000034293e+01,1.521200077580182164e+00,5.150052414858380416e+02,2.029979251550642072e+00
6.473456086658291250e+14,1.392003040000034098e+01,1.537307351662281052e+00,4.791715895663845117e+02,2.055274217543935578e+00
6.565487740716080000e+14,1.391003045000034000e+01,1.553082478104054642e+00,4.464091745927977399e+02,2.079771524529021143e+00
6.657519394773870000e+14,1.389003055000033626e+01,1.568546237107619312e+00,4.163565876251677764e+02,2.103524891044926015e+00
6.749551048831657500e+14,1.387003065000033430e+01,1.583703591946406419e+00,3.887366122442570031e+02,2.126541387373006131e+00
6.841582702889447500e+14,1.385003075000033235e+01,1.598569061065950425e+00,3.633186359059628785e+02,2.148838804858394624e+00
6.933614356947236250e+14,1.383003085000033039e+01,1.613012015303866287e+00,3.401148074814644815e+02,2.170241517931700059e+00
7.025646011005025000e+14,1.382003090000032941e+01,1.626489579110029560e+00,3.197064161419500579e+02,2.189949490168751289e+00
7.117677665062815000e+14,1.380003100000032745e+01,1.639347590770742658e+00,3.012400828338792849e+02,2.208501714632226332e+00
7.209709319120602500e+14,1.378003110000032549e+01,1.651726752380709762e+00,2.844304249094576562e+02,2.226108839510296811e+00
7.301740973178392500e+14,1.376003120000032176e+01,1.663679919256225270e+00,2.689715176149692297e+02,2.242842863016918376e+00
7.393772627236181250e+14,1.374003130000031980e+01,1.675247919940122898e+00,2.547032007392595006e+02,2.258771245531784988e+00
7.485804281293970000e+14,1.373003135000031882e+01,1.686466595498785637e+00,2.414956912632488297e+02,2.273944156233895342e+00
7.577835935351758750e+14,1.371003145000031687e+01,1.697359583611898648e+00,2.292256856433186272e+02,2.288408625575026445e+00
7.669867589409547500e+14,1.369003155000031491e+01,1.707934827720468896e+00,2.178375817494235207e+02,2.302178195880204115e+00
7.761899243467337500e+14,1.367003165000031295e+01,1.718201715923453721e+00,2.072106787402916837e+02,2.315264485276589124e+00
7.853930897525125000e+14,1.365003175000031099e+01,1.728193669986964442e+00,1.973035872818009580e+02,2.327721044356117819e+00
7.945962551582915000e+14,1.363003185000030726e+01,1.737908222314215267e+00,1.880289002609328577e+02,2.339565904379254047e+00
8.037994205640703750e+14,1.361003195000030530e+01,1.747356280185279775e+00,1.793514372153923944e+02,2.350801495369041039e+00
8.130025859698492500e+14,1.359003205000030334e+01,1.756550664757315472e+00,1.712059191230667068e+02,2.361459227293577712e+00
8.222057513756281250e+14,1.357003215000030139e+01,1.765501212523888919e+00,1.635743237039166900e+02,2.371562709093073540e+00
8.314089167814070000e+14,1.355003225000029943e+01,1.774214634939723201e+00,1.563889230490160003e+02,2.381126439908637593e+00
8.406120821871858750e+14,1.353003235000029747e+01,1.782695445398147172e+00,1.496320457664777734e+02,2.390158669385161971e+00
8.498152475929648750e+14,1.351003245000029374e+01,1.790954884912456135e+00,1.432647675706079156e+02,2.398677904904497282e+00
8.590184129987437500e+14,1.348003260000029080e+01,1.798997118131991924e+00,1.372541054382970174e+02,2.406708532218282404e+00
8.682215784045226250e+14,1.346003270000028884e+01,1.806824916173043416e+00,1.315901447083031144e+02,2.414244480043891805e+00
8.774247438103015000e+14,1.344003280000028688e+01,1.814453847637015560e+00,1.262340887899606230e+02,2.421336426662508146e+00
8.866279092160803750e+14,1.342003290000028493e+01,1.821882924201610354e+00,1.211682830777936317e+02,2.427972423181501860e+00
8.958310746218592500e+14,1.340003300000028297e+01,1.829112738127680604e+00,1.163802368261442837e+02,2.434163721901830613e+00
9.050342400276382500e+14,1.338003310000027923e+01,1.836159598181533736e+00,1.118350815433546472e+02,2.439931269625526422e+00
9.142374054334171250e+14,1.335003325000027630e+01,1.843023622871559297e+00,1.075365101760754243e+02,2.445300306151775072e+00
9.234405708391960000e+14,1.333003335000027434e+01,1.849708076047665850e+00,1.034566133539293276e+02,2.450274941084400915e+00
9.326437362449748750e+14,1.331003345000027238e+01,1.856214319605447249e+00,9.958095283937791464e+01,2.454842066697644931e+00
9.418469016507537500e+14,1.329003355000027042e+01,1.862550481576690009e+00,9.590210220642059369e+01,2.459046455353568028e+00
9.510500670565326250e+14,1.326003370000026571e+01,1.868723486276488766e+00,9.240759428336646408e+01,2.462892593681390352e+00
9.602532324623115000e+14,1.324003380000026375e+01,1.874731253555811827e+00,8.908088594156285467e+01,2.466379381117635994e+00
9.694563978680905000e+14,1.322003390000026180e+01,1.880581676711677419e+00,8.591762108663940012e+01,2.469528529072102518e+00
9.786595632738693750e+14,1.320003400000025984e+01,1.886278649479671277e+00,8.290167839423000373e+01,2.472353679865317400e+00
9.878627286796482500e+14,1.317003415000025690e+01,1.891824676078901035e+00,8.003513067302698403e+01,2.474863086224991182e+00
9.970658940854271250e+14,1.315003425000025494e+01,1.897217697228567701e+00,7.730032951024253407e+01,2.477048205206914933e+00
1.006269059491206000e+15,1.313003435000025121e+01,1.902470908747453837e+00,7.468937548795761927e+01,2.478942364451770963e+00
1.015472224896984875e+15,1.311003445000024925e+01,1.907582881502449368e+00,7.219718105992994595e+01,2.480545899842955482e+00
1.024675390302763875e+15,1.308003460000024631e+01,1.912557563366087399e+00,6.981849039905151244e+01,2.481873483066040276e+00
1.033878555708542750e+15,1.306003470000024436e+01,1.917392000065053503e+00,6.754837066444883931e+01,2.482910253463328942e+00
1.043081721114321625e+15,1.304003480000024240e+01,1.922095619400833399e+00,6.537747516707679551e+01,2.483698269781069001e+00
1.052284886520100500e+15,1.301003495000023946e+01,1.926675236706678840e+00,6.330113557108553834e+01,2.484229119327044710e+00
1.061488051925879375e+15,1.299003505000023573e+01,1.931123858266729387e+00,6.131646752590837934e+01,2.484508504499087334e+00
1.070691217331658250e+15,1.297003515000023377e+01,1.935449400811298792e+00,5.941496909361563894e+01,2.484551730668982383e+00
1.079894382737437250e+15,1.295003525000023181e+01,1.939654067863809894e+00,5.759549533933036969e+01,2.484363698573585300e+00
1.089097548143216125e+15,1.292003540000022888e+01,1.943742162354623604e+00,5.585284936471973083e+01,2.483957661369770253e+00
1.098300713548995000e+15,1.290003550000022692e+01,1.947712265082419902e+00,5.418087386431939478e+01,2.483326921006553167e+00
1.107503878954773875e+15,1.288003560000022496e+01,1.951566411804090739e+00,5.258223796158580399e+01,2.482485863674988913e+00
1.116707044360552750e+15,1.285003575000022025e+01,1.955313396041788554e+00,5.104777754526391220e+01,2.481448411553279776e+00
1.125910209766331500e+15,1.283003585000021829e+01,1.958952192607198439e+00,4.957386543781562693e+01,2.480213182202330557e+00
1.135113375172110500e+15,1.281003595000021633e+01,1.962483056786959112e+00,4.815900087890513248e+01,2.478790106907332369e+00
1.144316540577889500e+15,1.279003605000021437e+01,1.965906293054025200e+00,4.680093089300070375e+01,2.477177360527301531e+00
1.153519705983668500e+15,1.276003620000021144e+01,1.969225901028738512e+00,4.549886463509518819e+01,2.475395794041094444e+00
1.162722871389447250e+15,1.274003630000020770e+01,1.972376345080476101e+00,4.427406400406950127e+01,2.473482525613005301e+00
1.171926036795226000e+15,1.272003640000020575e+01,1.975385224889659508e+00,4.311403981594281731e+01,2.471451221079360661e+00
1.181129202201005000e+15,1.270003650000020379e+01,1.978268229376860754e+00,4.200903404634541261e+01,2.469276007364769487e+00
1.190332367606784000e+15,1.268003660000020183e+01,1.981044062282427021e+00,4.095526366148574482e+01,2.466974067344013921e+00
1.199535533012563000e+15,1.266003670000019987e+01,1.983711167818088095e+00,3.994056649997164499e+01,2.464540340844599609e+00
1.208738698418341750e+15,1.263003685000019694e+01,1.986276237919714083e+00,3.897023497370201994e+01,2.461971198386557091e+00
1.217941863824120500e+15,1.261003695000019320e+01,1.988747578369877145e+00,3.804213569225480285e+01,2.459288532783801884e+00
1.227145029229899500e+15,1.259003705000019124e+01,1.991122582158793675e+00,3.714642594318765845e+01,2.456481085997867631e+00
1.236348194635678500e+15,1.257003715000018929e+01,1.993411174078210557e+00,3.628746136218828156e+01,2.453555205562645725e+00
1.245551360041457250e+15,1.255003725000018733e+01,1.995611043401692708e+00,3.546039342339304312e+01,2.450512443945459307e+00
1.254754525447236250e+15,1.253003735000018537e+01,1.997720296167183829e+00,3.466495346199410932e+01,2.447349910053616462e+00
1.263957690853015000e+15,1.251003745000018341e+01,1.999753404564060588e+00,3.389743229974428118e+01,2.444088514647978272e+00
1.273160856258794000e+15,1.249003755000017968e+01,2.001704339028590240e+00,3.315979467275549553e+01,2.440713195613950948e+00
1.282364021664573000e+15,1.247003765000017772e+01,2.003576769876213692e+00,3.244565867426670280e+01,2.437232909697122807e+00
1.291567187070351750e+15,1.245003775000017576e+01,2.005372629241774174e+00,3.175703280698930442e+01,2.433654272260227458e+00
1.300770352476130500e+15,1.243003785000017380e+01,2.007094192028541890e+00,3.109390987609478785e+01,2.429977866434332334e+00
1.309973517881909500e+15,1.241003795000017185e+01,2.008743578530600704e+00,3.045291281860784594e+01,2.426207068551607282e+00
1.319176683287688500e+15,1.239003805000016989e+01,2.010324093350146502e+00,2.983222468676845551e+01,2.422345408574262837e+00
1.328379848693467500e+15,1.237003815000016793e+01,2.011834522122047719e+00,2.923176791717019540e+01,2.418397539189257373e+00
1.337583014099246250e+15,1.236003820000016518e+01,2.013274103148986693e+00,2.865311086082664360e+01,2.414366074090096959e+00
1.346786179505025000e+15,1.234003830000016322e+01,2.014647738689149925e+00,2.809496461842718418e+01,2.410252240059711948e+00
1.355989344910804000e+15,1.232003840000016126e+01,2.015956769617640365e+00,2.755564641876468457e+01,2.406062661801265268e+00
1.365192510316583000e+15,1.230003850000015930e+01,2.017205128073039422e+00,2.703140307946770804e+01,2.401792005891632442e+00
1.374395675722361750e+15,1.228003860000015734e+01,2.018392733919887938e+00,2.652362996223205371e+01,2.397445471435117437e+00
1.383598841128140750e+15,1.226003870000015539e+01,2.019522478169966551e+00,2.603123638411145180e+01,2.393031247458033750e+00
1.392802006533919500e+15,1.224003880000015343e+01,2.020589078179904075e+00,2.555568862147724474e+01,2.388542338204000970e+00
1.402005171939698500e+15,1.222003890000014970e+01,2.021604115601209894e+00,2.509337388695674420e+01,2.383987393169343161e+00
1.411208337345477500e+15,1.220003900000014774e+01,2.022561217605610029e+00,2.464598233196240784e+01,2.379368989068824547e+00
1.420411502751256250e+15,1.219003905000014676e+01,2.023466103183569231e+00,2.421032548775898263e+01,2.374680610620816701e+00
1.429614668157035250e+15,1.217003915000014480e+01,2.024315818363594310e+00,2.378725968323537998e+01,2.369932103805659995e+00
