rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.550495013218319285e-01,2.537431562448225915e+07,8.290048856756167261e-02
2.373359440563819062e+14,2.000000000000101963e+01,1.722937819467655896e-01,1.452973570861009881e+07,9.283422979714094081e-02
2.506718881127638125e+14,1.825000875000082345e+01,1.911052695620532038e-01,8.645027056152405217e+06,1.046421083125339963e-01
2.640078321691457500e+14,1.697001515000068039e+01,2.116503199210785224e-01,5.276772458360012621e+06,1.184199492079398425e-01
2.773437762255276250e+14,1.603001985000057772e+01,2.335540695286099366e-01,3.312100055312822107e+06,1.339434851721829078e-01
2.906797202819095625e+14,1.533002335000049854e+01,2.567756529782261321e-01,2.128750051645125728e+06,1.512179957557209242e-01
3.040156643382915000e+14,1.479002605000043680e+01,2.813624795612438279e-01,1.394645242602088954e+06,1.703254706500388349e-01
3.173516083946733750e+14,1.437002815000039035e+01,3.069828205225437756e-01,9.336932613396670204e+05,1.910512163636871596e-01
3.306875524510552500e+14,1.404002980000035450e+01,3.336388066728327995e-01,6.367999261900872225e+05,2.134297819498426896e-01
3.440234965074371875e+14,1.383003085000033039e+01,3.550526859779042921e-01,4.783596232729672920e+05,2.319656338167377096e-01
3.573594405638191250e+14,1.376003120000032176e+01,3.628283824519010770e-01,4.327212424428421073e+05,2.387655529041098623e-01
3.706953846202010000e+14,1.370003150000031589e+01,3.697781288079338147e-01,3.958957004052343545e+05,2.447983616649356264e-01
3.840313286765829375e+14,1.365003175000031099e+01,3.760057478166824452e-01,3.655874764019388822e+05,2.501265596801178215e-01
3.973672727329648750e+14,1.360003200000030432e+01,3.816025347056302697e-01,3.402405467595361406e+05,2.548207603315275627e-01
4.107032167893467500e+14,1.356003220000030041e+01,3.866460768348691790e-01,3.187604158223731210e+05,2.589464468412159270e-01
4.240391608457286250e+14,1.350003250000029276e+01,3.931927495156180008e-01,2.925381784249001648e+05,2.641092695239583565e-01
4.373751049021105625e+14,1.337003315000027825e+01,4.077502058971304022e-01,2.415049886127838399e+05,2.751443356205892643e-01
4.507110489584925000e+14,1.323003385000026277e+01,4.234878995951518732e-01,1.970012514174993266e+05,2.868586446714070926e-01
4.640469930148743750e+14,1.311003445000024925e+01,4.400597232260943792e-01,1.599443928882516047e+05,2.991848222611606101e-01
4.773829370712562500e+14,1.298003510000023475e+01,4.577426069478098269e-01,1.290227673139497201e+05,3.124491158594717155e-01
4.907188811276381875e+14,1.286003570000022123e+01,4.766612357640718223e-01,1.034244078424463660e+05,3.268473601750782609e-01
5.040548251840201250e+14,1.275003625000020868e+01,4.963431947960676438e-01,8.293485330250773404e+04,3.420964395570719185e-01
5.173907692404020000e+14,1.264003680000019791e+01,5.171599873608017095e-01,6.629287063309639052e+04,3.585444997137401391e-01
