rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.214456255336354290e-01,9.074244823717477918e+07,6.367967694228794662e-02
2.316445698301507500e+14,2.000000000000101963e+01,1.257407558667512082e-01,7.216147477335546911e+07,6.476136889463471324e-02
2.392891396603015000e+14,2.000000000000101963e+01,1.308802791185491587e-01,5.579457815539861470e+07,6.628162127131546899e-02
2.469337094904522500e+14,2.000000000000101963e+01,1.396070044488291750e-01,3.752526848369992524e+07,6.938417743518787706e-02
2.545782793206030000e+14,2.000000000000101963e+01,1.487092018989765729e-01,2.604318015659353510e+07,7.321939116101247591e-02
2.622228491507537500e+14,2.000000000000101963e+01,1.579958426335924537e-01,1.872416018142981455e+07,7.761307749526956401e-02
2.698674189809045312e+14,1.941000295000095477e+01,1.673238581007729653e-01,1.392841335215233453e+07,8.240019347546308215e-02
2.775119888110552812e+14,1.840000800000084169e+01,1.765875025942819920e-01,1.067371557228234410e+07,8.744257384850906423e-02
2.851565586412060000e+14,1.760001200000075272e+01,1.857167382524572974e-01,8.384912395860588178e+06,9.263930465360048494e-02
2.928011284713567500e+14,1.696001520000067941e+01,1.946638191940962270e-01,6.726743761130465195e+06,9.791525444766387143e-02
3.004456983015075000e+14,1.644001780000062141e+01,2.033942202295134782e-01,5.494276596306657419e+06,1.032102521906913123e-01
3.080902681316583125e+14,1.594002030000056536e+01,2.134554884250446649e-01,4.408021641819933429e+06,1.094676799509053805e-01
3.157348379618090625e+14,1.532002340000049756e+01,2.288059953412620029e-01,3.225094817106083501e+06,1.193555567989820210e-01
3.233794077919598125e+14,1.484002580000044347e+01,2.442349727298021300e-01,2.415221991517939139e+06,1.297238474150137211e-01
3.310239776221105625e+14,1.445002775000039996e+01,2.595868389298487955e-01,1.849038930589197669e+06,1.404425426044443592e-01
3.386685474522613125e+14,1.415002925000036527e+01,2.747569482820252373e-01,1.444492222169285873e+06,1.514018064771280592e-01
3.463131172824120625e+14,1.389003055000033626e+01,2.896697411462785809e-01,1.149182372091750614e+06,1.625045418921168272e-01
3.539576871125628125e+14,1.369003155000031491e+01,3.042692398501924411e-01,9.293461347301169299e+05,1.736652037436961782e-01
3.616022569427135625e+14,1.352003240000029471e+01,3.185232507445110439e-01,7.626473576797783608e+05,1.848203726316777762e-01
3.692468267728643125e+14,1.337003315000027825e+01,3.324121041068381355e-01,6.341495675581858959e+05,1.959184649845107096e-01
3.768913966030150625e+14,1.323003385000026277e+01,3.483161041254019819e-01,5.177787749808368972e+05,2.088809634150569638e-01
3.845359664331658750e+14,1.306003470000024436e+01,3.713378552228877583e-01,3.920336263127967832e+05,2.281655636849263258e-01
3.921805362633166250e+14,1.293003535000022985e+01,3.941991604514228920e-01,3.023254602727424353e+05,2.479623041440346121e-01
3.998251060934673750e+14,1.282003590000021731e+01,4.167556051009007612e-01,2.372704613553254458e+05,2.681151655797517352e-01
4.074696759236181250e+14,1.274003630000020770e+01,4.389106445048343574e-01,1.892755206326085899e+05,2.884884019632246721e-01
4.151142457537688750e+14,1.267003665000020085e+01,4.605969521480367534e-01,1.532585195896448859e+05,3.089630677488613419e-01
4.227588155839196250e+14,1.261003695000019320e+01,4.817651569083115093e-01,1.257957856216579385e+05,3.294306049387623059e-01
4.304033854140703750e+14,1.257003715000018929e+01,5.023915603549639064e-01,1.045494537114139093e+05,3.498127076373476196e-01
4.380479552442211250e+14,1.253003735000018537e+01,5.224556834281709472e-01,8.787343226569029503e+04,3.700313454849576411e-01
4.456925250743718750e+14,1.250003750000018243e+01,5.442806655366744240e-01,7.318866244348329201e+04,3.924380840084568112e-01
4.533370949045226250e+14,1.247003765000017772e+01,5.712396751294350761e-01,5.889652073532526992e+04,4.207327271533584656e-01
4.609816647346733750e+14,1.244003780000017478e+01,5.976205714986241313e-01,4.802039889680353372e+04,4.490891925591177225e-01
