rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.641001795000061847e+01,3.978434242247766983e-01,6.603928389512874419e+05,3.719397325280248134e-01
2.338474990380904375e+14,1.617001915000059142e+01,4.290970705708197497e-01,4.668545361199023318e+05,4.116086407286025373e-01
2.436949980761809062e+14,1.597002015000057007e+01,4.609644442835601486e-01,3.353620264290240593e+05,4.530318782595683658e-01
2.535424971142713750e+14,1.581002095000055085e+01,4.934999921115540422e-01,2.441854657604819513e+05,4.962739646112498404e-01
2.633899961523618125e+14,1.567002165000053537e+01,5.267615726247792951e-01,1.798545042324075766e+05,5.414202946118933379e-01
2.732374951904522500e+14,1.556002220000052283e+01,5.608091219608855038e-01,1.337807163918905717e+05,5.885770427296965757e-01
2.830849942285427500e+14,1.546002270000051304e+01,5.957076349747318922e-01,1.003536099756142357e+05,6.378617805096986615e-01
2.929324932666331875e+14,1.538002310000050343e+01,6.315327477408817503e-01,7.581652532545963186e+04,6.894346267087193558e-01
3.027799923047236250e+14,1.531002345000049480e+01,6.683587219283541048e-01,5.763025437458087981e+04,7.434591752489283500e-01
3.126274913428140625e+14,1.525002375000048893e+01,7.062604365975588827e-01,4.403126139188572415e+04,8.001152590818321197e-01
3.224749903809045000e+14,1.519002405000048306e+01,7.453160669980050113e-01,3.379191834674388519e+04,8.596070404023267164e-01
3.323224894189950000e+14,1.515002425000047737e+01,7.856054815098709732e-01,2.603024110638245838e+04,9.221523063717580460e-01
3.421699884570854375e+14,1.511002445000047345e+01,8.271829756792283828e-01,2.011592649917604285e+04,9.879459680707606273e-01
3.520174874951758750e+14,1.508002460000047051e+01,8.700985171560545739e-01,1.559031192544752776e+04,1.057187403818352633e+00
3.618649865332663750e+14,1.505002475000046580e+01,9.143906058441877427e-01,1.211474687693421583e+04,1.130071370226109151e+00
3.717124855713568125e+14,1.502002490000046286e+01,9.600727818051388862e-01,9.437526250142445861e+03,1.206754458761314597e+00
3.815599846094472500e+14,1.500002500000046091e+01,1.007140821357371596e+00,7.369568147792750096e+03,1.287379593451308812e+00
3.914074836475376875e+14,1.498002510000045895e+01,1.055557794618972922e+00,5.769598882298190802e+03,1.372020336355223247e+00
4.012549826856281250e+14,1.497002515000045797e+01,1.105273700526403724e+00,4.528707714441732605e+03,1.460733824123016111e+00
4.111024817237186250e+14,1.496002520000045699e+01,1.156187860812332602e+00,3.565191637713806813e+03,1.553475457255029779e+00
4.209499807618090625e+14,1.495002525000045601e+01,1.208167775047013892e+00,2.815997004584362912e+03,1.650124782588924033e+00
4.307974797998995000e+14,1.494002530000045503e+01,1.261067145108107024e+00,2.232135461585404300e+03,1.750508901480737345e+00
4.406449788379900000e+14,1.494002530000045503e+01,1.314700363239882375e+00,1.776594396289637643e+03,1.854354612033020322e+00
4.504924778760804375e+14,1.493002535000045405e+01,1.368872372586782404e+00,1.420238384003224382e+03,1.961336063353110282e+00
4.603399769141708750e+14,1.493002535000045405e+01,1.423365272267275383e+00,1.140922105158368822e+03,2.071045528991879436e+00
4.701874759522613125e+14,1.492002540000045130e+01,1.477961734741946254e+00,9.211705904485086194e+02,2.183029843718609975e+00
4.800349749903517500e+14,1.492002540000045130e+01,1.532435938397504582e+00,7.478411618990909346e+02,2.296790365019287350e+00
4.898824740284422500e+14,1.491002545000045032e+01,1.586551986689257676e+00,6.106777249959022811e+02,2.411752328294757941e+00
4.997299730665326875e+14,1.491002545000045032e+01,1.640103330558299710e+00,5.016382191391041943e+02,2.527379330612971486e+00
5.095774721046231250e+14,1.490002550000044934e+01,1.692883686873795979e+00,4.146227461466799014e+02,2.643090315150788516e+00
5.194249711427136250e+14,1.490002550000044934e+01,1.744713384395480515e+00,3.448510370463989716e+02,2.758343468034638590e+00
5.292724701808040625e+14,1.489002555000044836e+01,1.795428667115915644e+00,2.886494295336607365e+02,2.872606932180373995e+00
5.391199692188945000e+14,1.488002560000044738e+01,1.844891169821054167e+00,2.431138722656688742e+02,2.985390651222473490e+00
5.489674682569849375e+14,1.487002565000044640e+01,1.892986092986516100e+00,2.060453131928965149e+02,3.096242950206456790e+00
5.588149672950753750e+14,1.486002570000044543e+01,1.939612968041341645e+00,1.757178808656589126e+02,3.204755620561257956e+00
