rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.641001795000061847e+01,3.978434242247766983e-01,6.603928389512874419e+05,3.719397325280248134e-01
2.302854461366834062e+14,1.625001875000059925e+01,4.177216113233996886e-01,5.282256242214252707e+05,3.970578776521974107e-01
2.365708922733668438e+14,1.611001945000058555e+01,4.378462648306818417e-01,4.253933000749843195e+05,4.228854875688097814e-01
2.428563384100502500e+14,1.599002005000057203e+01,4.582305087326611348e-01,3.447163635017774068e+05,4.494403299035292232e-01
2.491417845467336562e+14,1.588002060000055948e+01,4.788800023929280503e-01,2.809326073636676301e+05,4.767271804138907276e-01
2.554272306834170938e+14,1.578002110000054792e+01,4.998072755954132695e-01,2.301158718497227237e+05,5.047643511456119114e-01
2.617126768201005000e+14,1.570002150000054009e+01,5.210421742718384097e-01,1.893345398879547429e+05,5.335926053962981586e-01
2.679981229567839375e+14,1.562002190000053048e+01,5.425940550507114546e-01,1.564138232461301377e+05,5.632322058764380746e-01
2.742835690934673438e+14,1.555002225000052185e+01,5.644740154338976357e-01,1.297095673997065896e+05,5.937064786758398105e-01
2.805690152301507500e+14,1.549002255000051598e+01,5.866976159546969383e-01,1.079288328022561764e+05,6.250464307064169667e-01
2.868544613668341875e+14,1.543002285000050833e+01,6.093053023310296412e-01,9.007061702416780463e+04,6.573209542045508336e-01
2.931399075035175625e+14,1.538002310000050343e+01,6.322984900729914370e-01,7.537334698676472181e+04,6.905481035290383929e-01
2.994253536402010000e+14,1.533002335000049854e+01,6.556955380032379876e-01,6.323389219264013809e+04,7.247677733918479470e-01
3.057107997768844375e+14,1.529002355000049285e+01,6.795133290713017971e-01,5.316956358030139381e+04,7.600204620837147651e-01
3.119962459135678750e+14,1.525002375000048893e+01,7.037990909951521434e-01,4.479178870419463783e+04,7.964024042749899834e-01
3.182816920502512500e+14,1.522002390000048599e+01,7.285467074678358967e-01,3.780286033612640313e+04,8.339228684986816909e-01
3.245671381869346875e+14,1.518002410000048030e+01,7.537767847288048273e-01,3.195835499836791496e+04,8.726416602027009528e-01
3.308525843236181250e+14,1.515002425000047737e+01,7.795065048671292463e-01,2.705838186956179925e+04,9.126064485953325756e-01
3.371380304603015000e+14,1.513002435000047541e+01,8.057740697086933634e-01,2.293833261389616018e+04,9.539079921153016395e-01
3.434234765969849375e+14,1.510002450000047247e+01,8.325717815759046125e-01,1.947037320478585752e+04,9.965650703551747203e-01
3.497089227336683750e+14,1.508002460000047051e+01,8.599115273862093511e-01,1.654655084377573075e+04,1.040628014561349124e+00
3.559943688703517500e+14,1.506002470000046856e+01,8.878098478564280249e-01,1.407686764074521125e+04,1.086158629270655762e+00
3.622798150070351875e+14,1.505002475000046580e+01,9.162850806282746285e-01,1.198766084986504757e+04,1.133220445339313986e+00
