rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.696001520000067941e+01,2.619916484779483135e-01,2.933727216638178099e+06,1.841273898772876894e-01
2.354986797810552812e+14,1.632001840000060966e+01,2.887893690636594846e-01,1.882388520864632213e+06,2.094485334984403091e-01
2.469973595621105625e+14,1.585002075000055655e+01,3.156568614802292005e-01,1.255917515866209287e+06,2.357952565135479350e-01
2.584960393431658438e+14,1.549002255000051598e+01,3.430925932566534775e-01,8.590460609419650864e+05,2.635758566038313711e-01
2.699947191242211250e+14,1.520002400000048404e+01,3.708122195976893409e-01,6.020820183079701383e+05,2.924519622654436213e-01
2.814933989052763750e+14,1.497002515000045797e+01,3.987806583852939180e-01,4.309140100379048381e+05,3.223348483627022643e-01
2.929920786863316875e+14,1.478002610000043582e+01,4.271639953820729474e-01,3.134619040796646732e+05,3.533675088976428458e-01
3.044907584673869375e+14,1.462002690000041838e+01,4.558642166453840683e-01,2.314893152377182851e+05,3.854111375279889451e-01
3.159894382484422500e+14,1.449002755000040388e+01,4.847678755415992802e-01,1.734359013988593942e+05,4.183120039006915092e-01
3.274881180294975000e+14,1.438002810000039133e+01,5.138506642089614163e-01,1.316230621041714330e+05,4.520105999148008036e-01
3.389867978105527500e+14,1.429002855000038252e+01,5.430902825972737658e-01,1.010633371914611198e+05,4.864538844588955913e-01
3.504854775916080625e+14,1.421002895000037292e+01,5.724548316931347136e-01,7.842705689735733904e+04,5.215760054143540048e-01
3.619841573726633125e+14,1.414002930000036429e+01,6.019110891920488315e-01,6.146598037863477657e+04,5.573104874415186760e-01
3.734828371537186250e+14,1.408002960000035841e+01,6.314198227533884822e-01,4.861526766175480589e+04,5.935849153149316271e-01
3.849815169347738750e+14,1.402002990000035076e+01,6.609434599309205183e-01,3.878185703745759383e+04,6.303286218366347393e-01
3.964801967158291250e+14,1.398003010000034685e+01,6.904352172407844934e-01,3.119018610130457819e+04,6.674572786031670590e-01
4.079788764968844375e+14,1.393003035000034195e+01,7.198353735840667955e-01,2.527978646177913470e+04,7.048642824408221097e-01
4.194775562779397500e+14,1.389003055000033626e+01,7.491925641731793650e-01,2.063039415528338941e+04,7.425909043614665750e-01
4.309762360589950000e+14,1.386003070000033333e+01,7.786439705753019913e-01,1.692566696047579899e+04,7.807964429829186148e-01
4.424749158400502500e+14,1.382003090000032941e+01,8.079119120775206664e-01,1.397868929524878513e+04,8.190889552998759093e-01
4.539735956211055625e+14,1.379003105000032647e+01,8.369371175328441659e-01,1.162009268713849087e+04,8.573690160778858482e-01
4.654722754021608125e+14,1.376003120000032176e+01,8.656606689431778356e-01,9.721772718933480064e+03,8.955350738346156136e-01
4.769709551832161250e+14,1.373003135000031882e+01,8.943792858098066345e-01,8.166779892670009758e+03,9.339516947514666656e-01
4.884696349642713750e+14,1.371003145000031687e+01,9.229528184910750221e-01,6.892449759766494026e+03,9.724205747976941705e-01
4.999683147453266250e+14,1.368003160000031393e+01,9.510973784245504437e-01,5.851672062887701031e+03,1.010525089914988461e+00
5.114669945263819375e+14,1.366003170000031197e+01,9.788865275098596053e-01,4.993796348012414455e+03,1.048352087980713110e+00
5.229656743074371875e+14,1.363003185000030726e+01,1.006771773205068277e+00,4.271384744334655807e+03,1.086487916895037875e+00
5.344643540884925000e+14,1.361003195000030530e+01,1.034100007423157663e+00,3.674176310141428075e+03,1.124016919977889772e+00
5.459630338695477500e+14,1.359003205000030334e+01,1.061017195566671401e+00,3.175206788191112082e+03,1.161127193216876075e+00
5.574617136506030625e+14,1.356003220000030041e+01,1.087960248316778511e+00,2.749339405935058494e+03,1.198394051991590992e+00
5.689603934316582500e+14,1.354003230000029845e+01,1.114224694157193829e+00,2.393647470615760994e+03,1.234819254104345232e+00
5.804590732127136250e+14,1.352003240000029471e+01,1.140322299767941860e+00,2.089568977268039816e+03,1.271108858869691050e+00
5.919577529937688750e+14,1.349003255000029178e+01,1.166069086154603918e+00,1.830213823559671710e+03,1.306972442218077290e+00
6.034564327748241250e+14,1.347003265000028982e+01,1.191180977207801694e+00,1.610530505411933063e+03,1.342010186766784186e+00
6.149551125558795000e+14,1.345003275000028786e+01,1.216347976990369784e+00,1.418609676051919678e+03,1.377160559037917897e+00
6.264537923369347500e+14,1.343003285000028590e+01,1.240666180193668700e+00,1.256357549348332668e+03,1.411148788179079405e+00
6.379524721179900000e+14,1.340003300000028297e+01,1.265031759922181642e+00,1.113326835813484195e+03,1.445211064680144375e+00
6.494511518990452500e+14,1.338003310000027923e+01,1.288657643999524982e+00,9.911540749536894737e+02,1.478233895813856336e+00
6.609498316801005000e+14,1.336003320000027728e+01,1.312108308305794724e+00,8.838431261634664224e+02,1.510992786208886329e+00
6.724485114611557500e+14,1.333003335000027434e+01,1.334982692540731319e+00,7.909385155366836671e+02,1.542913350288808383e+00
6.839471912422111250e+14,1.331003345000027238e+01,1.357548504019846058e+00,7.091372208421557843e+02,1.574357595677994048e+00
6.954458710232663750e+14,1.329003355000027042e+01,1.379625528588407812e+00,6.376580216589221664e+02,1.605067280227904458e+00
7.069445508043216250e+14,1.326003370000026571e+01,1.401344223977733172e+00,5.745595195837317988e+02,1.635195175324076544e+00
7.184432305853770000e+14,1.324003380000026375e+01,1.422573177157285373e+00,5.191482644498553327e+02,1.664581445352980360e+00
7.299419103664322500e+14,1.321003395000026082e+01,1.443477787584120264e+00,4.698788023955474387e+02,1.693417220963816971e+00
7.414405901474875000e+14,1.319003405000025886e+01,1.463814069726478095e+00,4.265244672244160711e+02,1.721381990895592740e+00
7.529392699285427500e+14,1.316003420000025592e+01,1.483949193169947112e+00,3.875898064124633606e+02,1.748950447830829757e+00
7.644379497095980000e+14,1.314003430000025396e+01,1.503354629090198458e+00,3.534504638496250664e+02,1.775409104082416478e+00
7.759366294906532500e+14,1.311003445000024925e+01,1.522734908446532032e+00,3.223593162069117852e+02,1.801697556964116709e+00
7.874353092717086250e+14,1.309003455000024729e+01,1.541232245429819514e+00,2.952371433944729233e+02,1.826660900243349372e+00
7.989339890527638750e+14,1.306003470000024436e+01,1.559837306458879747e+00,2.702364253382837660e+02,1.851630436127061907e+00
8.104326688338191250e+14,1.304003480000024240e+01,1.577641769386858073e+00,2.482264537503251915e+02,1.875361059800476848e+00
8.219313486148743750e+14,1.301003495000023946e+01,1.595254861279682634e+00,2.282186240865937634e+02,1.898693653681194915e+00
8.334300283959297500e+14,1.299003505000023573e+01,1.612401558110273747e+00,2.102261071102783490e+02,1.921239110652724680e+00
8.449287081769850000e+14,1.296003520000023279e+01,1.628990821931104227e+00,1.941204616892861168e+02,1.942880558373009325e+00
8.564273879580402500e+14,1.293003535000022985e+01,1.645492806040007361e+00,1.792802158830217252e+02,1.964228806394294979e+00
