rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.724001380000071038e+01,2.918886990552565508e-01,2.331371317274515051e+06,2.285584339923605879e-01
2.355349722884422188e+14,1.673001635000065335e+01,3.152364346052261013e-01,1.615610685973650310e+06,2.515248079751287169e-01
2.470699445768844375e+14,1.632001840000060966e+01,3.389598078276481186e-01,1.142416049464305397e+06,2.753747385349805121e-01
2.586049168653266250e+14,1.598002010000057105e+01,3.633128610142501436e-01,8.191758623027084395e+05,3.003512217496717152e-01
2.701398891537688438e+14,1.570002150000054009e+01,3.881430186788892289e-01,5.958489058194236131e+05,3.262978150192712423e-01
2.816748614422110625e+14,1.546002270000051304e+01,4.133697685280501855e-01,4.393787379805386299e+05,3.531289959949299728e-01
2.932098337306532500e+14,1.525002375000048893e+01,4.390787181178240628e-01,3.276500880432075937e+05,3.809370179679230639e-01
3.047448060190955000e+14,1.507002465000046953e+01,4.653463688439146706e-01,2.466126748778049950e+05,4.098086856353834739e-01
3.162797783075376875e+14,1.492002540000045130e+01,4.919845357024478782e-01,1.875577077862866572e+05,4.395440700271301959e-01
3.278147505959798750e+14,1.478002610000043582e+01,5.189846361953650566e-01,1.439928860389580077e+05,4.701354163591653368e-01
3.393497228844221250e+14,1.466002670000042230e+01,5.463196814182960104e-01,1.115290478446655907e+05,5.015494548100436489e-01
3.508846951728643125e+14,1.456002720000041251e+01,5.739600731161507152e-01,8.709632254581233428e+04,5.337501005828292344e-01
3.624196674613065000e+14,1.446002770000040094e+01,6.018780919490321901e-01,6.854826205273903906e+04,5.667060996506171344e-01
3.739546397497487500e+14,1.438002810000039133e+01,6.300288122315023109e-01,5.435004870489148016e+04,6.003568705141213435e-01
3.854896120381909375e+14,1.431002845000038448e+01,6.583645931502459803e-01,4.340612477719581511e+04,6.346425655558094459e-01
3.970245843266331250e+14,1.424002880000037585e+01,6.868359921179152394e-01,3.490211609264275467e+04,6.694856817958317885e-01
4.085595566150753750e+14,1.418002910000036998e+01,7.153892448697299900e-01,2.825628273189122046e+04,7.048254085515474054e-01
4.200945289035176250e+14,1.412002940000036233e+01,7.441287704421091220e-01,2.299928995542893244e+04,7.407642221549080030e-01
4.316295011919598125e+14,1.407002965000035744e+01,7.730394833214733197e-01,1.881609353219538752e+04,7.772858064160881320e-01
4.431644734804020000e+14,1.402002990000035076e+01,8.019134783681830525e-01,1.548707609055200737e+04,8.141079426916975059e-01
4.546994457688442500e+14,1.398003010000034685e+01,8.306785066818606067e-01,1.282435350839616513e+04,8.511265835553893933e-01
4.662344180572864375e+14,1.393003035000034195e+01,8.592586134855192403e-01,1.068444358140885743e+04,8.882219766125588611e-01
4.777693903457286250e+14,1.389003055000033626e+01,8.880472475706973068e-01,8.930211831520975466e+03,9.258922941150240504e-01
4.893043626341708750e+14,1.386003070000033333e+01,9.167181438920797287e-01,7.500687399824293607e+03,9.636882408178912840e-01
5.008393349226130625e+14,1.382003090000032941e+01,9.450682292002786644e-01,6.335686122509403503e+03,1.001336752811470499e+00
5.123743072110552500e+14,1.379003105000032647e+01,9.732156760072188106e-01,5.376712444555795628e+03,1.038957967656543691e+00
5.239092794994975000e+14,1.376003120000032176e+01,1.001492405999214519e+00,4.574248167814618682e+03,1.076985350120217344e+00
5.354442517879396875e+14,1.372003140000031784e+01,1.029289387531617805e+00,3.913981056579378674e+03,1.114588076423010055e+00
5.469792240763818750e+14,1.369003155000031491e+01,1.056805873967366916e+00,3.363029269021717937e+03,1.152005621723703577e+00
5.585141963648241250e+14,1.366003170000031197e+01,1.084367438566225861e+00,2.895931685774623929e+03,1.189664490450893286e+00
5.700491686532662500e+14,1.364003180000030824e+01,1.111280376307195672e+00,2.507836751179779185e+03,1.226588513308392248e+00
5.815841409417085000e+14,1.361003195000030530e+01,1.138162863702997685e+00,2.176764342066743666e+03,1.263620928255366538e+00
5.931191132301507500e+14,1.358003210000030236e+01,1.164680189806535315e+00,1.896500026955887733e+03,1.300278717773271753e+00
6.046540855185930000e+14,1.355003225000029943e+01,1.190637902281734384e+00,1.659801807649447710e+03,1.336274801523741562e+00
6.161890578070352500e+14,1.352003240000029471e+01,1.216657722186725188e+00,1.454143290944982482e+03,1.372439478999148976e+00
