rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.639001805000061651e+01,3.135251076447593266e-01,1.503184460253491532e+06,2.459266630657010733e-01
2.380341073463316562e+14,1.587002065000055850e+01,3.530883272423870345e-01,8.818847686507869512e+05,2.890299698108182436e-01
2.520682146926633125e+14,1.550002250000051696e+01,3.932214970570266921e-01,5.425419790428527631e+05,3.346576563212821931e-01
2.661023220389949688e+14,1.524002380000048795e+01,4.339338538249648547e-01,3.465369045477241161e+05,3.826601349133098018e-01
2.801364293853266250e+14,1.504002480000046482e+01,4.747591375574998218e-01,2.292311326158780139e+05,4.323387666710806210e-01
2.941705367316583125e+14,1.488002560000044738e+01,5.161442878596776973e-01,1.554445990995939937e+05,4.841079945012923824e-01
3.082046440779899375e+14,1.476002620000043386e+01,5.573841475317781180e-01,1.082841872185901157e+05,5.369667084139374547e-01
3.222387514243216250e+14,1.466002670000042230e+01,5.988163955440455322e-01,7.696401090444086003e+04,5.912312806903365914e-01
3.362728587706532500e+14,1.458002710000041446e+01,6.402090992462378116e-01,5.575696237572084647e+04,6.464959863110997240e-01
3.503069661169849375e+14,1.452002740000040681e+01,6.813427978525009587e-01,4.112792069130466552e+04,7.023569404592758803e-01
3.643410734633165625e+14,1.446002770000040094e+01,7.221907568406390476e-01,3.082917100907134954e+04,7.586814467177886989e-01
3.783751808096482500e+14,1.441002795000039427e+01,7.627356680343378992e-01,2.343731394633014133e+04,8.153404823259620127e-01
3.924092881559798750e+14,1.437002815000039035e+01,8.030890851134097064e-01,1.803102201834218067e+04,8.724128411547424911e-01
4.064433955023115625e+14,1.433002835000038644e+01,8.429868312409237729e-01,1.404137790103392217e+04,9.294357082476786269e-01
4.204775028486432500e+14,1.429002855000038252e+01,8.823982777116784471e-01,1.105704987732625159e+04,9.862959987894450720e-01
4.345116101949748750e+14,1.426002870000037781e+01,9.212614890337142981e-01,8.797748888211935991e+03,1.042815332172198461e+00
4.485457175413065000e+14,1.423002885000037487e+01,9.595501277475180224e-01,7.067156895938184789e+03,1.098887791065318087e+00
4.625798248876381875e+14,1.420002900000037194e+01,9.972143427031883167e-01,5.728084754891682678e+03,1.154371468909276333e+00
4.766139322339698750e+14,1.417002915000036900e+01,1.034433700067565187e+00,4.676492200881932149e+03,1.209475528794376364e+00
4.906480395803015000e+14,1.414002930000036429e+01,1.071015352339930837e+00,3.847287207606288575e+03,1.263853906027912366e+00
5.046821469266331250e+14,1.411002945000036135e+01,1.106906113450214724e+00,3.188401490556921090e+03,1.317370640211333432e+00
5.187162542729648125e+14,1.408002960000035841e+01,1.142054527479639425e+00,2.661048236399546113e+03,1.369902758891973882e+00
