rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.905000475000091242e+01,1.997661395019245945e-01,8.909512050786582753e+06,1.221978511926855998e-01
2.384451447620100625e+14,1.771001145000076349e+01,2.217746815085932799e-01,5.354389215259363875e+06,1.385132027721812376e-01
2.528902895240200938e+14,1.675001625000065530e+01,2.446316011705284565e-01,3.346087701933246106e+06,1.562425173942283141e-01
2.673354342860301562e+14,1.603001985000057772e+01,2.683035802626423383e-01,2.157134050619109999e+06,1.753123933820777969e-01
2.817805790480401875e+14,1.548002260000051500e+01,2.929411547588471887e-01,1.423104684484182857e+06,1.958297473673427380e-01
2.962257238100502500e+14,1.504002480000046482e+01,3.181413627741357941e-01,9.631221620299750939e+05,2.174506755586471107e-01
3.106708685720603125e+14,1.469002655000042701e+01,3.443149608339449719e-01,6.622274278746142518e+05,2.405282066201341884e-01
3.251160133340703750e+14,1.440002800000039329e+01,3.709857541877231712e-01,4.645963566880524158e+05,2.646482660336371140e-01
3.395611580960803750e+14,1.417002915000036900e+01,3.982391917801367809e-01,3.313243888946472434e+05,2.898816212527845493e-01
3.540063028580904375e+14,1.397003015000034587e+01,4.262010234868128800e-01,2.393406452901182056e+05,3.163490126996748031e-01
3.684514476201005000e+14,1.381003095000032843e+01,4.545798287180912167e-01,1.754286186063481728e+05,3.437750309602957688e-01
3.828965923821105625e+14,1.367003165000031295e+01,4.833503672779402294e-01,1.302799507662832621e+05,3.721274375949895630e-01
3.973417371441206250e+14,1.355003225000029943e+01,5.124611099530326230e-01,9.792532982614840148e+04,4.013449755177597167e-01
4.117868819061306250e+14,1.345003275000028786e+01,5.418852795005472123e-01,7.442357924604372238e+04,4.313917943538975730e-01
4.262320266681407500e+14,1.336003320000027728e+01,5.715730703082890773e-01,5.714968425639245106e+04,4.622058109898349310e-01
4.406771714301507500e+14,1.328003360000026944e+01,6.014654867033151220e-01,4.430498284898456768e+04,4.937070472508257035e-01
4.551223161921608125e+14,1.321003395000026082e+01,6.315181137947829537e-01,3.466282997913867439e+04,5.258376974617595678e-01
4.695674609541708750e+14,1.315003425000025494e+01,6.616697915140403730e-01,2.735433991806431004e+04,5.585126797188108005e-01
4.840126057161808750e+14,1.309003455000024729e+01,6.918515079263584111e-01,2.176766638406347920e+04,5.916355967194980581e-01
4.984577504781910000e+14,1.305003475000024338e+01,7.220064785573628852e-01,1.746038527462335333e+04,6.251258562687095344e-01
5.129028952402010000e+14,1.300003500000023671e+01,7.520653366294999254e-01,1.411295694311149782e+04,6.588771930695704881e-01
5.273480400022110625e+14,1.296003520000023279e+01,7.819586005450622768e-01,1.149397124339354559e+04,6.927889299735547901e-01
5.417931847642211250e+14,1.292003540000022888e+01,8.116125184494680234e-01,9.428361350579041755e+03,7.267474470098727046e-01
5.562383295262311875e+14,1.289003555000022594e+01,8.414215947622942782e-01,7.766712611053336332e+03,7.611863046563426272e-01
