rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.043103175217566791e-01,1.949698123328803778e+08,4.892337615135898543e-02
2.353832433581909688e+14,2.000000000000101963e+01,1.131422953548892468e-01,1.184922306759035587e+08,5.103143623156560643e-02
2.467664867163819062e+14,2.000000000000101963e+01,1.231572660903211686e-01,7.254592784141382575e+07,5.438829844802028912e-02
2.581497300745728750e+14,2.000000000000101963e+01,1.344079373865192384e-01,4.502581999838654697e+07,5.899025161363254804e-02
2.695329734327638125e+14,2.000000000000101963e+01,1.467362037058100865e-01,2.865337590155092627e+07,6.473377425436696586e-02
2.809162167909547812e+14,1.833000835000083484e+01,1.601826656780755420e-01,1.865076724365393072e+07,7.159267651466785787e-02
2.922994601491457500e+14,1.696001520000067941e+01,1.747918471841423682e-01,1.233054954841602966e+07,7.957277893340281016e-02
3.036827035073366875e+14,1.593002035000056438e+01,1.903999994326977252e-01,8.282917025432838127e+06,8.859258521363339023e-02
3.150659468655276250e+14,1.514002430000047639e+01,2.069867722534857457e-01,5.640362262862617150e+06,9.865878432446163748e-02
3.264491902237186250e+14,1.453002735000040779e+01,2.245317926424516830e-01,3.889051158865195233e+06,1.097877208169243807e-01
3.378324335819095625e+14,1.403002985000035174e+01,2.430040764802241515e-01,2.713272546120117418e+06,1.219924103560135198e-01
3.492156769401005000e+14,1.364003180000030824e+01,2.623677560267202447e-01,1.914626631516555557e+06,1.352831925618633302e-01
3.605989202982915000e+14,1.332003340000027336e+01,2.825851906851308826e-01,1.365957472154836403e+06,1.496681948214139135e-01
3.719821636564823750e+14,1.307003465000024534e+01,3.036159042267607133e-01,9.849463747764765285e+05,1.651508774856046136e-01
3.833654070146733750e+14,1.285003575000022025e+01,3.254117600013378131e-01,7.176316773708109977e+05,1.817260884703712220e-01
3.947486503728643125e+14,1.268003660000020183e+01,3.479122304887846684e-01,5.282732304810557980e+05,1.993749698171330687e-01
4.061318937310552500e+14,1.254003730000018635e+01,3.710497657434279617e-01,3.928596332417766680e+05,2.180679684643532235e-01
4.175151370892462500e+14,1.242003790000017283e+01,3.947535431195334787e-01,2.951120490845215973e+05,2.377667826273454910e-01
