rhoc,R,M,Lambda,I
2.240000000000000000e+14,2.000000000000101963e+01,1.274964236091580549e-01,7.016520554148291051e+07,6.554826366226219891e-02
2.366500767975376875e+14,2.000000000000101963e+01,1.365977980850970053e-01,4.681741339855743945e+07,6.919054247214065367e-02
2.493001535950753750e+14,2.000000000000101963e+01,1.453004208376151574e-01,3.306255730939779431e+07,7.308456552403634621e-02
2.619502303926130625e+14,2.000000000000101963e+01,1.535370115401452906e-01,2.448475426446916908e+07,7.702477130515802961e-02
2.746003071901507500e+14,1.929000355000093947e+01,1.696343517921745370e-01,1.458675742171698436e+07,8.533074807737650591e-02
2.872503839876884375e+14,1.769001155000076153e+01,1.863445944506265939e-01,9.215515845040082932e+06,9.478163548292938001e-02
2.999004607852261250e+14,1.660001700000064062e+01,2.028877605916828419e-01,6.177992206563070416e+06,1.047922718793142111e-01
3.125505375827638125e+14,1.582002090000055183e+01,2.189819662889732621e-01,4.350473740224359557e+06,1.150301705799300772e-01
3.252006143803015000e+14,1.525002375000048893e+01,2.344687408273050666e-01,3.190673365804628469e+06,1.252587173452049674e-01
3.378506911778391875e+14,1.481002595000044053e+01,2.492742146673447567e-01,2.420499921408167109e+06,1.353223649752261226e-01
3.505007679753768750e+14,1.446002770000040094e+01,2.633663289861058465e-01,1.888667049342092359e+06,1.451111358512239269e-01
3.631508447729145625e+14,1.402002990000035076e+01,2.858860317736191536e-01,1.304074343591818120e+06,1.611766895419954604e-01
3.758009215704522500e+14,1.367003165000031295e+01,3.087344490516488738e-01,9.227619669848931953e+05,1.781114600989285313e-01
3.884509983679899375e+14,1.341003295000028395e+01,3.310160873456048924e-01,6.748891133466828614e+05,1.952226203809140082e-01
4.011010751655276250e+14,1.321003395000026082e+01,3.525657745132959597e-01,5.083562556474835728e+05,2.122846488468030923e-01
4.137511519630653125e+14,1.304003480000024240e+01,3.732926175397955348e-01,3.929600858386220643e+05,2.291237829393728831e-01
4.264012287606030000e+14,1.291003545000022790e+01,3.931533168408458123e-01,3.106992820049404982e+05,2.456087024431996002e-01
4.390513055581406875e+14,1.281003595000021633e+01,4.121395252017917565e-01,2.505658562153592356e+05,2.616505533149991458e-01
4.517013823556783750e+14,1.268003660000020183e+01,4.389849863935840202e-01,1.874431174778181885e+05,2.847912899221500815e-01
4.643514591532160625e+14,1.257003715000018929e+01,4.658575545789270245e-01,1.423865195498045650e+05,3.085721285389100843e-01
4.770015359507537500e+14,1.249003755000017968e+01,4.918788209967497882e-01,1.105740016529710265e+05,3.321848263886020836e-01
4.896516127482914375e+14,1.242003790000017283e+01,5.169610479656909785e-01,8.759641160915886576e+04,3.554565724635050383e-01
5.023016895458291250e+14,1.237003815000016793e+01,5.410621883989229497e-01,7.065275664174520352e+04,3.782559433325567988e-01
5.149517663433668125e+14,1.232003840000016126e+01,5.641683294050467978e-01,5.791225293374039029e+04,4.004793029361826684e-01
5.276018431409045000e+14,1.228003860000015734e+01,5.862876637930456436e-01,4.815355939832377044e+04,4.220543683750388464e-01
5.402519199384421875e+14,1.224003880000015343e+01,6.152568219481560075e-01,3.811571149172150763e+04,4.507410073819509977e-01
5.529019967359798750e+14,1.220003900000014774e+01,6.439778952173702553e-01,3.049325396660950355e+04,4.797245378059160625e-01
5.655520735335175000e+14,1.217003915000014480e+01,6.716658407706864731e-01,2.477662152732455434e+04,5.081759883808883993e-01
5.782021503310552500e+14,1.215003925000014284e+01,6.982896439359174146e-01,2.042028024161884241e+04,5.359820746652692591e-01
5.908522271285930000e+14,1.213003935000014089e+01,7.238427382275932631e-01,1.704976559840642221e+04,5.630549840354877045e-01
6.035023039261306250e+14,1.211003945000013715e+01,7.483334142831021829e-01,1.440530197841731024e+04,5.893256287927172155e-01
6.161523807236682500e+14,1.209003955000013519e+01,7.717836686035065563e-01,1.230148877834607265e+04,6.147450616537227797e-01
6.288024575212060000e+14,1.208003960000013421e+01,8.009496041902816055e-01,1.015448160121274850e+04,6.467154554947525114e-01
6.414525343187437500e+14,1.206003970000013226e+01,8.296434467207770558e-01,8.448578512414096622e+03,6.785904514875391591e-01
6.541026111162813750e+14,1.205003975000013128e+01,8.572127099252593307e-01,7.109678085598012331e+03,7.096033040634720512e-01
6.667526879138190000e+14,1.203003985000012932e+01,8.836862691040772155e-01,6.046067269824356117e+03,7.397383982109583256e-01
