rhoc,R,M,Lambda,I
2.240000000000000000e+14,1.638001810000061553e+01,3.859519454583485998e-01,7.303073298358465545e+05,3.525200824108793984e-01
2.338422063788944688e+14,1.613001935000058751e+01,4.166647357374020366e-01,5.148464943884059321e+05,3.907422112420118609e-01
2.436844127577889375e+14,1.592002040000056340e+01,4.478015078704263296e-01,3.696835114060468040e+05,4.304533387191155080e-01
2.535266191366834062e+14,1.575002125000054498e+01,4.793298547785548869e-01,2.697796862516404362e+05,4.715739786535728673e-01
2.633688255155778750e+14,1.561002195000052950e+01,5.112250974361333133e-01,1.997370582111281110e+05,5.140413872140179308e-01
2.732110318944723750e+14,1.550002250000051696e+01,5.434436333482733916e-01,1.498209096155230072e+05,5.577667428566267516e-01
2.830532382733668125e+14,1.540002300000050539e+01,5.759542563047878039e-01,1.137276441515647603e+05,6.026848236032936734e-01
2.928954446522613125e+14,1.532002340000049756e+01,6.087191971458959516e-01,8.727338604904641397e+04,6.487126314334867860e-01
3.027376510311557500e+14,1.524002380000048795e+01,6.417058627948116767e-01,6.764369383929403557e+04,6.957815528269143401e-01
3.125798574100502500e+14,1.518002410000048030e+01,6.748752160391021659e-01,5.291473043566149136e+04,7.438067083014621161e-01
3.224220637889447500e+14,1.513002435000047541e+01,7.081961311191434794e-01,4.175392479471422121e+04,7.927254593999247811e-01
3.322642701678391875e+14,1.508002460000047051e+01,7.416364720737436134e-01,3.321112250516284257e+04,8.424608378099458506e-01
3.421064765467336875e+14,1.504002480000046482e+01,7.751552447437134452e-01,2.661429932818121597e+04,8.929257471772247268e-01
3.519486829256281250e+14,1.500002500000046091e+01,8.087159088103100801e-01,2.148236871788085409e+04,9.440468684409769606e-01
3.617908893045226250e+14,1.496002520000045699e+01,8.422777946713477792e-01,1.745586450076399706e+04,9.957231959164848378e-01
3.716330956834171250e+14,1.493002535000045405e+01,8.758072528302701665e-01,1.427485506633940531e+04,1.047883920218394938e+00
